4320	78	8.6133	6.7779
4320	79	8.4891	5.7722
4320	80	10.9776	5.8760
4320	81	13.4992	5.9601
4320	82	14.2344	5.1073
4320	83	14.5402	5.6161
4330	78	8.1749	6.8839
4330	79	8.0000	5.8756
4330	80	10.4041	6.0818
4330	81	13.0362	6.0715
4330	82	13.7347	5.1658
4330	83	14.0591	5.7099
4340	78	7.7363	6.9901
4340	79	7.5107	5.9787
4340	80	9.8647	6.3142
4340	81	12.5732	6.1830
4340	82	13.2267	5.2727
4340	83	13.5769	5.7887
4350	78	7.2874	7.0956
4350	79	7.0215	6.0820
4350	80	9.3762	6.5870
4350	81	12.1184	6.3152
4350	82	12.7186	5.3796
4350	83	13.0922	5.8319
4360	78	6.8138	7.2001
4360	79	6.5537	6.1877
4360	80	8.8877	6.8598
4360	81	11.6654	6.4524
4360	82	12.2097	5.4844
4360	83	12.6075	5.8753
4370	78	6.3403	7.3044
4370	79	6.1073	6.2963
4370	80	8.4194	7.1407
4370	81	11.2127	6.5899
4370	82	11.6977	5.5799
4370	83	12.1228	5.9188
4380	78	5.8739	7.4059
4380	79	5.6609	6.4047
4380	80	7.9648	7.4271
4380	81	10.7729	6.7135
4380	82	11.1856	5.6753
4380	83	11.7143	6.1013
4390	78	5.4708	7.4810
4390	79	5.2195	6.5219
4390	80	7.5067	7.7035
4390	81	10.3463	6.8230
4390	82	10.6891	5.7651
4390	83	11.3058	6.2837
4400	78	5.0680	7.5560
4400	79	4.7986	6.6729
4400	80	7.0154	7.8891
4400	81	9.9196	6.9328
4400	82	10.2549	5.8321
4400	83	10.8970	6.4662
4410	78	4.6652	7.6309
4410	79	4.3777	6.8240
4410	80	6.5398	8.0416
4410	81	9.4930	7.0424
4410	82	9.8209	5.8994
4410	83	10.4812	6.6455
4420	78	4.2365	7.7030
4420	79	3.9650	6.9622
4420	80	6.0997	8.1178
4420	81	9.0710	7.1264
4420	82	9.3867	5.9665
4420	83	10.0602	6.8226
4430	78	3.7909	7.7734
4430	79	3.5849	7.0483
4430	80	5.6518	8.1860
4430	81	8.6501	7.2039
4430	82	8.9892	6.1257
4430	83	9.6393	6.9997
4440	78	3.3451	7.8436
4440	79	3.2050	7.1345
4440	80	5.1337	8.1860
4440	81	8.2292	7.2815
4440	82	8.5916	6.2846
4440	83	9.2245	7.1257
4450	78	2.9122	7.9116
4450	79	2.8249	7.2209
4450	80	4.6157	8.1860
4450	81	7.8083	7.3591
4450	82	8.1940	6.4438
4450	83	8.8155	7.2006
4460	78	2.5308	7.9712
4460	79	2.4334	7.3245
4460	80	4.1636	8.1901
4460	81	7.3917	7.4333
4460	82	7.7988	6.5789
4460	83	8.4066	7.2758
4470	78	2.1493	8.0309
4470	79	2.0344	7.4395
4470	80	3.7778	8.1980
4470	81	6.9761	7.5068
4470	82	7.4069	6.6775
4470	83	7.9977	7.3507
4480	78	1.7679	8.0906
4480	79	1.6351	7.5548
4480	80	3.3921	8.2058
4480	81	6.5606	7.5803
4480	82	7.0150	6.7763
4480	83	7.5650	7.4369
4490	78	1.4362	8.1992
4490	79	1.2518	7.6755
4490	80	3.0568	8.2035
4490	81	6.1449	7.6536
4490	82	6.6570	6.8901
4490	83	7.1325	7.5230
4500	78	1.1045	8.3075
4500	79	0.8757	7.7984
4500	80	2.7725	8.1906
4500	81	5.7587	7.7490
4500	82	6.3327	7.0192
4500	83	6.6997	7.6092
4510	78	0.7730	8.4161
4510	79	0.4994	7.9214
4510	80	2.4881	8.1777
4510	81	5.3755	7.8469
4510	82	6.0086	7.1481
4510	83	6.3078	7.6911
